scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,avg_soil_path_m,floor_decks_above,Dg_in,Dr_in,Dg_ref,Dr_ref,Din,Dref,basement_opening_mode,basement_ceiling_mode,roof_model,ground_radius_m,M_floor_kg_m2,M_roof_kg_m2,M_wall_kg_m2,M_foundation_wall_kg_m2,M_basement_ceiling_kg_m2
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | stubbloft bevart,5 målepunkter,1. etasje,0,1.5,10.572084150715279,10.572084150715279,0.09458872874487503,0.9365675501980576,0.06343244980194249,0.0,0.0,4,0.191316086476387,0.012957579033302146,0.7436205829470717,1.4159777985964275,0.20427366550968915,2.159598381543499,exposed_above_grade,same_as_floor,sloped,60.0,145.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | stubbloft bevart,5 målepunkter,2. etasje,1,4.5,27.15310037229509,27.15310037229509,0.03682820695570817,0.68525342141033,0.3147465785896701,0.7389451382382641,0.0,3,0.09439875772278074,0.043358683208338286,1.9451084870412334,1.7954331335919531,0.13775744093111902,3.7405416206331865,exposed_above_grade,same_as_floor,sloped,60.0,145.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | stubbloft bevart,5 målepunkter,3. etasje,2,7.5,25.750993391769224,25.750993391769224,0.03883345332687746,0.22013563496934827,0.7798643650306517,1.252122933293688,0.0,2,0.04308025222186958,0.1526184234054003,2.696155236194249,2.3432800666615674,0.1956986756272699,5.039435302855816,exposed_above_grade,same_as_floor,sloped,60.0,145.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | stubbloft bevart,5 målepunkter,4. etasje,3,10.5,10.25187074207989,10.25187074207989,0.09754317286652807,0.03911535606447354,0.9608846439355264,1.6950226097836676,0.0,1,0.0239710624659447,0.5888589070844636,3.125342298506251,3.15731133619729,0.6128299695504084,6.282653634703541,exposed_above_grade,same_as_floor,sloped,60.0,145.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | stubbloft bevart,5 målepunkter,5. etasje,4,13.5,2.4622320324522726,2.4622320324522726,0.4061355659499096,0.004582622742415449,0.9954173772575846,2.092333162241398,0.0,0,0.014320447743174768,3.110625363446734,3.3529218731732007,4.3414198028161435,3.1249458111899084,7.694341675989344,exposed_above_grade,same_as_floor,sloped,60.0,145.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | full utskifting + mineralull,5 målepunkter,Kjeller,-1,-1.1,14.029173941695246,14.029173941695246,0.07128003431677195,0.31235425101120945,0.6876457489887905,0.0,11.921624055050621,5,0.03842565013392303,0.08459380617097627,0.5507251446215115,1.1751362060926986,0.1230194563048993,1.7258613507142102,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | full utskifting + mineralull,5 målepunkter,1. etasje,0,1.5,6.251456018571664,6.251456018571664,0.1599627346060223,0.5538085740727328,0.4461914259272673,0.0,0.0,4,0.191316086476387,0.15413917628605103,0.7436205829470717,1.4159777985964275,0.34545526276243804,2.159598381543499,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | full utskifting + mineralull,5 målepunkter,2. etasje,1,4.5,8.121175914301315,8.121175914301315,0.12313487733211263,0.35846955113133183,0.6415304488686681,0.7389451382382641,0.0,3,0.16510789692108294,0.2954832366912462,1.9451084870412334,1.7954331335919531,0.4605911336123292,3.7405416206331865,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | full utskifting + mineralull,5 målepunkter,3. etasje,2,7.5,7.0818766003531435,7.0818766003531435,0.14120551040809357,0.16979931228865255,0.8302006877113474,1.252122933293688,0.0,2,0.12082851721892547,0.5907675168893955,2.696155236194249,2.3432800666615674,0.7115960341083211,5.039435302855816,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | full utskifting + mineralull,5 målepunkter,4. etasje,3,10.5,4.686948687559344,4.686948687559344,0.21335842712644132,0.06195175819338826,0.9380482418066117,1.6950226097836676,0.0,1,0.08304367398411752,1.2574134236964496,3.125342298506251,3.15731133619729,1.3404570976805672,6.282653634703541,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
