facade,combo_id,n_stubb,combo_label,d0,d1,d2,d3,d4,PF_Kjeller,LF_Kjeller,PF_2F,LF_2F,PF_3F,LF_3F,PF_4F,LF_4F,mean_LF_focus,min_PF_focus,mean_PF_focus
Trebygg,15,4,-SSSS,0,1,1,1,1,34.63662738604599,0.028871171227336893,9.394343134221215,0.1064470379368253,13.186057553840786,0.07583767899668568,9.015256629708754,0.11092307641078276,0.08051974114290766,9.015256629708754,16.558071175954186
Trebygg,16,1,S----,1,0,0,0,0,20.17124019499319,0.04957553379629158,4.643376055772181,0.21536054542834196,4.842357597433706,0.20651097732434465,3.929756905523845,0.2544686666481467,0.18147893079928124,3.929756905523845,8.39668268843073
Trebygg,17,2,S---S,1,0,0,0,1,26.10845161869563,0.03830177348716935,5.516309442221104,0.1812806207617963,6.499892309363648,0.15384870277918528,6.370566385092903,0.15697191419902562,0.13260075280679412,5.516309442221104,11.12380493884332
Trebygg,18,2,S--S-,1,0,0,1,0,26.10845161869563,0.03830177348716935,5.516309442221104,0.1812806207617963,6.499892309363648,0.15384870277918528,4.651865650301946,0.21496751522372348,0.1470996530629686,4.651865650301946,10.694129755145582
Trebygg,19,3,S--SS,1,0,0,1,1,31.062491077341758,0.032193168201163386,6.111114860647347,0.16363626323562025,7.826532169124551,0.12777050913365842,8.512756505367681,0.11747076277460237,0.11026767583626111,6.111114860647347,13.378223653120335
Trebygg,20,2,S-S--,1,0,1,0,0,26.10845161869563,0.03830177348716935,5.516309442221104,0.1812806207617963,6.262817155668399,0.15967255232653763,4.167937033249049,0.23992684918765816,0.15479544894079036,4.167937033249049,10.513878812458545
Trebygg,21,3,S-S-S,1,0,1,0,1,31.062491077341758,0.032193168201163386,6.111114860647347,0.16363626323562025,9.344896777513254,0.10701027778137827,7.020987999718404,0.14243009673853704,0.11131745148917474,6.111114860647347,13.384872678805191
Trebygg,22,3,S-SS-,1,0,1,1,0,31.062491077341758,0.032193168201163386,6.111114860647347,0.16363626323562025,9.344896777513254,0.10701027778137827,4.778689881446938,0.20926237625974808,0.12802552136947748,4.778689881446938,12.824298149237324
Trebygg,23,4,S-SSS,1,0,1,1,1,34.63662738604599,0.028871171227336893,6.4769076846130025,0.15439466620400819,12.356039149089677,0.08093208413585144,8.94729493653949,0.11176562381062695,0.09399088634445586,6.4769076846130025,15.60421728907204
Trebygg,24,2,SS---,1,1,0,0,0,26.10845161869563,0.03830177348716935,5.973254734205221,0.16741291716115908,5.18710454311388,0.1927857809088398,3.996329706893921,0.25022960399762234,0.16218251888869764,3.996329706893921,10.316285150727165
Trebygg,25,3,SS--S,1,1,0,0,1,31.062491077341758,0.032193168201163386,7.500019172227003,0.13333299249461344,7.136561351844651,0.14012350636368046,6.54737988495189,0.15273285154850122,0.11459562965198963,6.54737988495189,13.061612871591324
Trebygg,26,3,SS-S-,1,1,0,1,0,31.062491077341758,0.032193168201163386,7.500019172227003,0.13333299249461344,7.136561351844651,0.14012350636368046,4.692500118712376,0.21310601485384734,0.12968892047832614,4.692500118712376,12.597892930031446
Trebygg,27,4,SS-SS,1,1,0,1,1,34.63662738604599,0.028871171227336893,8.64389142695671,0.11568863496843737,8.768444543366323,0.11404531271815362,8.649825967223876,0.11560926240472624,0.09355359532966354,8.64389142695671,15.174697330898224
Trebygg,28,3,SSS--,1,1,1,0,0,31.062491077341758,0.032193168201163386,7.500019172227003,0.13333299249461344,6.469219732514003,0.15457814718737187,4.200527313050549,0.2380653488177821,0.1395424141752327,4.200527313050549,12.308064323783329
Trebygg,29,4,SSS-S,1,1,1,0,1,34.63662738604599,0.028871171227336893,8.64389142695671,0.11568863496843737,9.812014302331647,0.10191587264221252,7.113964468830286,0.14056859636866095,0.09676106880166194,7.113964468830286,15.05162439604116
Trebygg,30,4,SSSS-,1,1,1,1,0,34.63662738604599,0.028871171227336893,8.64389142695671,0.11568863496843737,9.812014302331647,0.10191587264221252,4.798007970115848,0.2084198288599039,0.11372387692447267,4.798007970115848,14.472635271362549
Trebygg,31,5,SSSSS,1,1,1,1,1,36.95616337874143,0.027059085916240903,9.394343134221215,0.1064470379368253,13.186057553840786,0.07583767899668568,9.015256629708754,0.11092307641078276,0.08006671981513366,9.015256629708754,17.13795517412805
