scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,diag_avg_soil_path_m,floor_decks_above,Dg_in,Dr_in,Dg_ref,Dr_ref,Din,Dref,basement_opening_mode,basement_ceiling_mode,roof_model,ground_radius_m,M_floor_kg_m2,M_roof_kg_m2,M_wall_kg_m2,M_foundation_wall_kg_m2,M_basement_ceiling_kg_m2
Kjellervindu 60x30 cm,Murbygg | stubbloft bevart,5 målepunkter i rommet,5. etasje,4,13.5,2.635579256431737,2.635579256431737,0.37942323212616336,0.0030510787750317064,0.9969489212249683,2.092333162241398,0.0,0,0.008193345705568832,2.6771996938378586,3.3529218731732007,3.7246443172136283,2.6853930395434276,7.077566190386829,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | full utskifting + mineralull,5 målepunkter i rommet,Kjeller,-1,-1.1,15.576304338707434,15.576304338707434,0.06420008098551205,0.28953235506002123,0.7104676449399787,0.0,12.023567914338765,5,0.028823937491138495,0.07072948715172456,0.5507251446215115,0.9999492955763,0.09955342464286306,1.5506744401978114,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | full utskifting + mineralull,5 målepunkter i rommet,1. etasje,0,1.5,6.0832694826410645,6.0832694826410645,0.16438528703250013,0.5969540660104268,0.4030459339895731,0.0,0.0,4,0.191316086476387,0.1291710286462116,0.7436205829470717,1.2059889040579064,0.32048711512259864,1.949609487004978,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | full utskifting + mineralull,5 målepunkter i rommet,2. etasje,1,4.5,8.405848023001553,8.405848023001553,0.11896479656349067,0.39922563672514283,0.6007743632748571,0.7389451382382641,0.0,3,0.16510789692108294,0.24846247965960674,1.9451084870412334,1.5313012453115646,0.4135703765806897,3.4764097323527983,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | full utskifting + mineralull,5 målepunkter i rommet,3. etasje,2,7.5,7.580471151406566,7.580471151406566,0.13191792172633607,0.19495452056148402,0.8050454794385159,1.252122933293688,0.0,2,0.12082851721892547,0.49894945392495993,2.696155236194249,2.0020537943392656,0.6197779711438854,4.698209030533515,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | full utskifting + mineralull,5 målepunkter i rommet,4. etasje,3,10.5,5.060742638704227,5.060742638704227,0.19759945750887742,0.07210641552987472,0.9278935844701252,1.6950226097836676,0.0,1,0.08304367398411752,1.068638508161122,3.125342298506251,2.703024826912091,1.1516821821452397,5.8283671254183425,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | full utskifting + mineralull,5 målepunkter i rommet,5. etasje,4,13.5,2.5841968303661056,2.5841968303661056,0.3869674276546222,0.022487282073052284,0.9775127179269478,2.092333162241398,0.0,0,0.061587888911456876,2.6771996938378586,3.3529218731732007,3.7246443172136283,2.7387875827493153,7.077566190386829,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | referanse lett,5 målepunkter i rommet,Kjeller,-1,-1.1,8.2907565009984,8.2907565009984,0.12061625496775556,0.1541085871696857,0.8458914128303143,0.0,12.023567914338765,5,0.028823937491138495,0.15821260615974236,0.5507251446215115,0.9999492955763,0.18703654365088085,1.5506744401978114,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | referanse lett,5 målepunkter i rommet,1. etasje,0,1.5,4.418863010677477,4.418863010677477,0.22630255737361846,0.4336250841581596,0.5663749158418404,0.0,0.0,4,0.191316086476387,0.24988552631270786,0.7436205829470717,1.2059889040579064,0.44120161278909487,1.949609487004978,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | referanse lett,5 målepunkter i rommet,2. etasje,1,4.5,5.5053058435456785,5.5053058435456785,0.18164295107643874,0.3415916199126938,0.6584083800873062,0.7389451382382641,0.0,3,0.21570326258020067,0.4157620603552141,1.9451084870412334,1.5313012453115646,0.6314653229354148,3.4764097323527983,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | referanse lett,5 målepunkter i rommet,3. etasje,2,7.5,5.221048084888247,5.221048084888247,0.19153242485821778,0.20043596686082307,0.7995640331391769,1.252122933293688,0.0,2,0.18036418248566877,0.7194951856231918,2.696155236194249,2.0020537943392656,0.8998593681088606,4.698209030533515,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | referanse lett,5 målepunkter i rommet,4. etasje,3,10.5,4.027462718058141,4.027462718058141,0.248295284154028,0.09168546560697181,0.9083145343930281,1.6950226097836676,0.0,1,0.13268317822691122,1.3144728933328313,3.125342298506251,2.703024826912091,1.4471560715597427,5.8283671254183425,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | referanse lett,5 målepunkter i rommet,5. etasje,4,13.5,2.545585940235254,2.545585940235254,0.39283686486246994,0.0370924528982329,0.9629075471017671,2.092333162241398,0.0,0,0.10312921925031829,2.6771996938378586,3.3529218731732007,3.7246443172136283,2.780328913088177,7.077566190386829,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Trebygg | stubbloft bevart,5 målepunkter i rommet,Kjeller,-1,-1.1,52.757318350926596,52.757318350926596,0.018954716260373317,0.9851062322764842,0.01489376772351579,0.0,12.023567914338765,5,0.028954827557945484,0.00043776646821726576,0.5507251446215115,0.9999492955763,0.02939259402616275,1.5506744401978114,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 60x30 cm,Trebygg | stubbloft bevart,5 målepunkter i rommet,1. etasje,0,1.5,4.325437875631221,4.325437875631221,0.23119046643435326,0.9954385787321193,0.004561421267880741,0.0,0.0,4,0.4486751521182531,0.002055974547267956,0.7436205829470717,1.2059889040579064,0.45073112666552106,1.949609487004978,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 60x30 cm,Trebygg | stubbloft bevart,5 målepunkter i rommet,2. etasje,1,4.5,11.075990856311122,11.075990856311122,0.09028537608716045,0.9677503268150004,0.03224967318499964,0.7389451382382641,0.0,3,0.3037467887317987,0.010122171386738512,1.9451084870412334,1.5313012453115646,0.3138689601185372,3.4764097323527983,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 60x30 cm,Trebygg | stubbloft bevart,5 målepunkter i rommet,3. etasje,2,7.5,19.540606808556618,19.540606808556618,0.051175483432894776,0.7811749965594011,0.21882500344059883,1.252122933293688,0.0,2,0.18782034044384227,0.052612777962502244,2.696155236194249,2.0020537943392656,0.24043311840634451,4.698209030533515,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 60x30 cm,Trebygg | stubbloft bevart,5 målepunkter i rommet,4. etasje,3,10.5,14.223515601621424,14.223515601621424,0.07030610631073544,0.25721867287089106,0.7427813271291088,1.6950226097836676,0.0,1,0.1054004438138724,0.3043693549237851,3.125342298506251,2.703024826912091,0.4097697987376575,5.8283671254183425,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 60x30 cm,Trebygg | stubbloft bevart,5 målepunkter i rommet,5. etasje,4,13.5,2.588740264037011,2.588740264037011,0.38628827074391386,0.020768657491449318,0.9792313425085507,2.092333162241398,0.0,0,0.05678111092225987,2.6771996938378586,3.3529218731732007,3.7246443172136283,2.7339808047601184,7.077566190386829,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 60x30 cm,Trebygg | full utskifting + mineralull,5 målepunkter i rommet,Kjeller,-1,-1.1,15.555851938332939,15.555851938332939,0.06428448946185883,0.2904652315891045,0.7095347684108955,0.0,12.023567914338765,5,0.028954827557945484,0.07072948715172456,0.5507251446215115,0.9999492955763,0.09968431470967004,1.5506744401978114,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,80.0,350.0,300.0
Kjellervindu 60x30 cm,Trebygg | full utskifting + mineralull,5 målepunkter i rommet,1. etasje,0,1.5,3.3739246739084297,3.3739246739084297,0.2963907308699864,0.7764612228200174,0.22353877717998258,0.0,0.0,4,0.4486751521182531,0.1291710286462116,0.7436205829470717,1.2059889040579064,0.5778461807644647,1.949609487004978,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,80.0,350.0,300.0
