scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,diag_avg_soil_path_m,floor_decks_above,Dg_in,Dr_in,Dg_ref,Dr_ref,Din,Dref,basement_opening_mode,basement_ceiling_mode,roof_model,ground_radius_m,M_floor_kg_m2,M_roof_kg_m2,M_wall_kg_m2,M_foundation_wall_kg_m2,M_basement_ceiling_kg_m2
Kjellervindu 40x60 cm | R=60 m,Murbygg | referanse lett,5 målepunkter,3. etasje,2,7.5,5.221048084888247,5.221048084888247,0.19153242485821778,0.20043596686082307,0.7995640331391769,1.252122933293688,0.0,2,0.18036418248566877,0.7194951856231918,2.696155236194249,2.0020537943392656,0.8998593681088606,4.698209030533515,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=60 m,Murbygg | referanse lett,5 målepunkter,4. etasje,3,10.5,4.027462718058141,4.027462718058141,0.248295284154028,0.09168546560697181,0.9083145343930281,1.6950226097836676,0.0,1,0.13268317822691122,1.3144728933328313,3.125342298506251,2.703024826912091,1.4471560715597427,5.8283671254183425,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=60 m,Murbygg | referanse lett,5 målepunkter,5. etasje,4,13.5,2.545585940235254,2.545585940235254,0.39283686486246994,0.0370924528982329,0.9629075471017671,2.092333162241398,0.0,0,0.10312921925031829,2.6771996938378586,3.3529218731732007,3.7246443172136283,2.780328913088177,7.077566190386829,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=60 m,Trebygg | stubbloft bevart,5 målepunkter,Kjeller,-1,-1.1,39.77163275398581,39.77163275398581,0.02514354907644023,0.9887721840544909,0.011227815945509173,0.0,11.921624055050621,5,0.03855169242047789,0.00043776646821726576,0.5507251446215115,0.9999492955763,0.03898945888869515,1.5506744401978114,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=60 m,Trebygg | stubbloft bevart,5 målepunkter,1. etasje,0,1.5,4.325437875631221,4.325437875631221,0.23119046643435326,0.9954385787321193,0.004561421267880741,0.0,0.0,4,0.4486751521182531,0.002055974547267956,0.7436205829470717,1.2059889040579064,0.45073112666552106,1.949609487004978,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=60 m,Trebygg | stubbloft bevart,5 målepunkter,2. etasje,1,4.5,11.075990856311122,11.075990856311122,0.09028537608716045,0.9677503268150004,0.03224967318499964,0.7389451382382641,0.0,3,0.3037467887317987,0.010122171386738512,1.9451084870412334,1.5313012453115646,0.3138689601185372,3.4764097323527983,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=60 m,Trebygg | stubbloft bevart,5 målepunkter,3. etasje,2,7.5,19.540606808556618,19.540606808556618,0.051175483432894776,0.7811749965594011,0.21882500344059883,1.252122933293688,0.0,2,0.18782034044384227,0.052612777962502244,2.696155236194249,2.0020537943392656,0.24043311840634451,4.698209030533515,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=60 m,Trebygg | stubbloft bevart,5 målepunkter,4. etasje,3,10.5,14.223515601621424,14.223515601621424,0.07030610631073544,0.25721867287089106,0.7427813271291088,1.6950226097836676,0.0,1,0.1054004438138724,0.3043693549237851,3.125342298506251,2.703024826912091,0.4097697987376575,5.8283671254183425,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=60 m,Trebygg | stubbloft bevart,5 målepunkter,5. etasje,4,13.5,2.588740264037011,2.588740264037011,0.38628827074391386,0.020768657491449318,0.9792313425085507,2.092333162241398,0.0,0,0.05678111092225987,2.6771996938378586,3.3529218731732007,3.7246443172136283,2.7339808047601184,7.077566190386829,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=60 m,Trebygg | full utskifting + mineralull,5 målepunkter,Kjeller,-1,-1.1,14.189766675910334,14.189766675910334,0.07047332227792574,0.35277522233374736,0.6472247776662526,0.0,11.921624055050621,5,0.03855169242047789,0.07072948715172456,0.5507251446215115,0.9999492955763,0.10928117957220244,1.5506744401978114,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,80.0,350.0,300.0
